id_oblig,id_cli,cod_prod,vr_desembolsado,sdo_capital,vr_cuota,fec_desembolso,fec_venc,dias_mora_act,num_cuotas_pend,calif_riesgo
OBL000001,CLI003546,PR001,38139508.1,16273994.76,657577.73,2024-02-15,2035-11-19,20,7,Medio
OBL000002,CLI001217,PR017,14366207.67,2978733.84,139477.74,2022-03-25,2031-11-03,32,83,Medio
OBL000003,CLI007308,PR026,28906583.21,16938386.84,356871.4,2022-04-27,2027-08-26,97,62,Alto
OBL000004,CLI005225,PR026,37211218.48,35627581.68,418103.58,2018-09-30,2035-04-05,66,118,Alto
OBL000005,CLI005187,PR001,8500243.4,2750706.65,107598.02,2019-08-30,2029-12-29,54,53,Bajo
OBL000006,CLI008838,PR025,47594900.67,28908816.88,3172993.38,2024-04-16,2028-09-12,127,23,Alto
OBL000007,CLI001478,PR038,29468957.56,15702162.65,526231.39,2025-08-10,2030-07-09,169,44,Medio
OBL000008,CLI002045,PR012,2083400.59,1909940.94,86808.36,2023-07-05,2027-04-29,29,23,Alto
OBL000009,CLI005185,PR010,15783202.22,6081061.13,232105.92,2024-03-14,2030-05-26,106,54,Alto
OBL000010,CLI004433,PR033,10717973.07,9871025.57,106118.55,2019-12-08,2030-05-21,177,8,Bajo
OBL000011,CLI009231,PR002,3213029.01,1780426.44,82385.36,2023-06-28,2031-05-07,140,36,Alto
OBL000012,CLI002610,PR008,35127467.07,29696884.07,494753.06,2025-09-19,2035-03-04,32,9,Bajo
OBL000013,CLI002841,PR021,10286003.66,3669503.9,94367.01,2023-04-29,2027-01-20,121,82,Bajo
OBL000014,CLI000457,PR044,42287080.51,40585739.04,716730.18,2025-12-29,2028-06-24,50,87,Medio
OBL000015,CLI000665,PR002,20836365.54,4601552.89,905928.94,2024-06-14,2032-06-23,139,81,Medio
OBL000016,CLI004229,PR005,23449596.27,9426624.85,781653.21,2019-09-11,2036-04-29,138,2,Bajo
OBL000017,CLI009446,PR041,19826871.06,10194163.76,793074.84,2025-05-02,2034-11-01,126,113,Bajo
OBL000018,CLI005320,PR012,31764684.3,20271352.52,276214.65,2020-11-06,2032-07-20,108,111,Medio
OBL000019,CLI005037,PR003,33606976.78,27180555.61,2400498.34,2023-02-11,2027-07-05,110,103,Medio
OBL000020,CLI001856,PR016,26371486.17,13175579.33,1198703.92,2018-11-29,2027-09-18,166,17,Medio
OBL000021,CLI005603,PR045,25944658.1,24123439.5,273101.66,2023-06-13,2034-12-13,140,107,Bajo
OBL000022,CLI000267,PR038,6957715.78,701674.3,66263.96,2024-04-22,2034-02-05,15,116,Medio
OBL000023,CLI000510,PR018,12731680.27,9300569.82,143052.59,2026-03-10,2030-05-06,139,5,Alto
OBL000024,CLI009256,PR046,6825306.41,679578.42,71845.33,2019-08-23,2034-08-25,42,99,Medio
OBL000025,CLI001554,PR042,8786322.97,722399.28,251037.8,2022-05-30,2034-11-14,106,88,Alto
OBL000026,CLI000824,PR032,12607112.09,11162962.47,163728.73,2023-06-13,2034-09-04,38,69,Bajo
OBL000027,CLI005132,PR046,26447962.65,10958034.05,352639.5,2020-09-23,2036-07-25,104,101,Alto
OBL000028,CLI007044,PR041,46607367.13,30699371.47,717036.42,2023-06-02,2029-11-14,109,28,Medio
OBL000029,CLI002316,PR024,49207558.51,31532400.13,523484.66,2026-03-12,2031-05-12,14,76,Alto
OBL000030,CLI004994,PR007,1642147.45,1419600.09,38189.48,2024-03-18,2035-01-25,173,14,Medio
OBL000031,CLI001420,PR008,39790587.83,30648985.62,1989529.39,2018-09-12,2035-09-25,173,84,Medio
OBL000032,CLI000489,PR001,42072749.94,4747389.47,532566.45,2021-12-15,2030-10-21,152,71,Bajo
OBL000033,CLI003173,PR044,38936639.83,4973311.51,1145195.29,2025-04-08,2028-10-15,0,77,Bajo
OBL000034,CLI009858,PR015,26185216.44,6286686.06,770153.42,2021-08-30,2031-11-01,27,17,Alto
OBL000035,CLI001258,PR040,41228608.57,13203216.94,808404.09,2019-11-25,2034-02-26,76,91,Medio
OBL000036,CLI004078,PR013,25910726.27,22153840.8,272744.49,2023-11-15,2032-09-04,75,11,Medio
OBL000037,CLI008967,PR048,47360276.24,37541751.7,451050.25,2022-05-24,2031-02-13,106,53,Bajo
OBL000038,CLI009050,PR030,6760802.36,2536545.03,88957.93,2022-02-25,2034-12-14,113,58,Medio
OBL000039,CLI000002,PR027,38990072.56,32948661.03,3249172.71,2026-03-15,2033-04-15,160,58,Medio
OBL000040,CLI001672,PR049,23777011.72,12619058.23,204974.24,2023-12-27,2026-11-17,178,25,Medio
OBL000041,CLI006100,PR047,30395612.9,20112541.94,345404.69,2022-07-09,2026-10-17,14,54,Medio
OBL000042,CLI009224,PR001,17891463.16,9920055.46,526219.5,2025-11-05,2036-06-21,39,96,Alto
