cod_prod,desc_prod,tip_prod,tasa_ea,plazo_max_meses,cuota_min,comision_admin,estado_prod
PR001,CDT,ACTIVO,26.47,12,113060.08,8956.25,ACTIVO
PR002,Credito Hipotecario,ACTIVO,22.95,48,251722.13,32015.58,ACTIVO
PR003,Credito Vehicular,ACTIVO,14.96,12,174081.06,26784.79,INACTIVO
PR004,CDT,PASIVO,6.62,36,173225.99,7239.3,ACTIVO
PR005,Credito Vehicular,ACTIVO,18.13,12,52701.08,28231.12,INACTIVO
PR006,Cuenta Corriente,PASIVO,13.06,180,105077.76,12183.34,INACTIVO
PR007,CDT,PASIVO,12.72,84,162588.07,14591.05,ACTIVO
PR008,Credito de libre inversion,ACTIVO,29.06,24,132184.07,31866.05,INACTIVO
PR009,CDT,ACTIVO,10.34,36,204265.24,18934.44,ACTIVO
PR010,Credito Vehicular,ACTIVO,29.48,36,168187.71,13437.99,INACTIVO
PR011,Cuenta de Ahorros,ACTIVO,27.17,72,160525.74,42553.23,INACTIVO
PR012,Credito de libre inversion,ACTIVO,7.4,48,273160.41,11990.13,ACTIVO
PR013,Credito Vehicular,ACTIVO,30.76,24,213856.87,42516.98,INACTIVO
PR014,CDT,PASIVO,13.57,12,100995.44,14609.1,INACTIVO
PR015,Tarjeta de Credito,PASIVO,31.66,24,94369.6,6673.19,INACTIVO
PR016,Cuenta Corriente,PASIVO,24.45,36,129076.2,34821.92,ACTIVO
PR017,Credito Vehicular,ACTIVO,6.14,12,232723.92,45971.02,ACTIVO
PR018,Credito Vehicular,PASIVO,34.41,12,235745.25,40913.06,ACTIVO
PR019,Credito de libre inversion,PASIVO,29.39,72,254783.47,6026.68,ACTIVO
PR020,Credito de libre inversion,ACTIVO,34.64,24,271691.37,11022.51,ACTIVO
PR021,Cuenta Corriente,PASIVO,18.05,84,190139.78,5827.32,INACTIVO
PR022,Cuenta Corriente,PASIVO,22.59,60,127255.55,48143.59,INACTIVO
PR023,Credito de libre inversion,ACTIVO,5.12,48,102617.09,19755.47,INACTIVO
PR024,Credito Educativo,PASIVO,23.76,120,172150.45,20755.92,ACTIVO
PR025,Credito de libre inversion,ACTIVO,28.62,180,241168.42,15451.55,INACTIVO
PR026,Credito Educativo,ACTIVO,14.83,12,282429.52,21654.68,INACTIVO
PR027,Cuenta Corriente,ACTIVO,34.18,180,82986.24,38685.05,ACTIVO
PR028,Cuenta de Ahorros,ACTIVO,5.78,60,64005.39,4163.53,INACTIVO
PR029,Credito Vehicular,ACTIVO,7.01,60,139284.15,42964.24,INACTIVO
PR030,Credito de libre inversion,PASIVO,32.43,60,51220.16,49078.98,ACTIVO
PR031,Credito Vehicular,PASIVO,8.93,180,212467.51,21710.06,INACTIVO
PR032,CDT,PASIVO,24.17,24,296181.08,36681.96,INACTIVO
PR033,Cuenta Corriente,ACTIVO,18.49,84,269199.52,22228.55,ACTIVO
PR034,Credito Educativo,ACTIVO,17.54,72,251317.5,37502.2,ACTIVO
PR035,Tarjeta de Credito,ACTIVO,18.94,24,202229.31,32223.26,ACTIVO
PR036,Credito de libre inversion,ACTIVO,6.66,36,260952.63,46918.46,INACTIVO
PR037,Credito de libre inversion,PASIVO,30.78,180,179979.09,27756.49,INACTIVO
PR038,CDT,ACTIVO,19.85,36,128466.68,3608.54,ACTIVO
PR039,Tarjeta de Credito,PASIVO,31.02,48,86478.72,29933.73,INACTIVO
PR040,Credito Hipotecario,PASIVO,20.07,48,75901.58,3564.72,INACTIVO
PR041,Credito Educativo,PASIVO,9.74,60,139081.8,36793.75,INACTIVO
PR042,Cuenta Corriente,ACTIVO,18.44,12,204659.64,42879.63,ACTIVO
PR043,CDT,ACTIVO,28.43,48,285807.22,37667.47,ACTIVO
PR044,Credito de libre inversion,PASIVO,21.75,48,232018.37,44594.38,INACTIVO
PR045,Credito Educativo,ACTIVO,12.02,72,111109.01,21173.23,ACTIVO
PR046,CDT,PASIVO,19.95,60,204435.91,7818.75,ACTIVO
PR047,Credito de libre inversion,PASIVO,18.63,36,141820.75,49533.88,ACTIVO
PR048,Credito Hipotecario,PASIVO,17.4,24,298490.29,16085.76,ACTIVO
PR049,Cuenta Corriente,PASIVO,9.38,36,251959.0,18359.12,INACTIVO
PR050,Tarjeta de Credito,ACTIVO,25.04,84,227542.22,16216.4,ACTIVO
