cod_suc,nom_suc,tip_punto,ciudad,depto,latitud,longitud,activo
SUC001,Sucursal Ibagué 1,Cajero,Ibagué,Tolima,7.70319,-70.67622,INACTIVO
SUC002,Sucursal San Andrés 2,Cajero,San Andrés,San Andrés y Providencia,0.61636,-75.70073,ACTIVO
SUC003,Sucursal Ibagué 3,Corresponsal,Ibagué,Tolima,7.64754,-74.61234,ACTIVO
SUC004,Sucursal Armenia 4,Corresponsal,Armenia,Quindío,-1.40286,-73.52573,INACTIVO
SUC005,Sucursal Bogotá 5,Cajero,Bogotá,Cundinamarca,-3.88223,-80.50766,ACTIVO
SUC006,Sucursal Villavicencio 6,Oficina Principal,Villavicencio,Meta,12.86497,-68.05376,ACTIVO
SUC007,Sucursal Barranquilla 7,Corresponsal,Barranquilla,Atlántico,-4.29108,-74.42052,ACTIVO
SUC008,Sucursal Ibagué 8,Sucursal,Ibagué,Tolima,7.74926,-71.98366,INACTIVO
SUC009,Sucursal Bogotá 9,Cajero,Bogotá,Cundinamarca,12.18969,-76.07474,ACTIVO
SUC010,Sucursal Cali 10,Oficina Principal,Cali,Valle del Cauca,8.07886,-75.51748,INACTIVO
SUC011,Sucursal Armenia 11,Sucursal,Armenia,Quindío,11.08996,-72.35954,ACTIVO
SUC012,Sucursal Fusagasugá 12,Oficina Principal,Fusagasugá,Cundinamarca,-2.23161,-67.79946,ACTIVO
SUC013,Sucursal Cartagena 13,Cajero,Cartagena,Bolívar,-4.36732,-70.31518,INACTIVO
SUC014,Sucursal San Andrés 14,Corresponsal,San Andrés,San Andrés y Providencia,5.19571,-72.77219,ACTIVO
SUC015,Sucursal Medellín 15,Oficina Principal,Medellín,Antioquia,6.47384,-76.53156,INACTIVO
SUC016,Sucursal Cali 16,Corresponsal,Cali,Valle del Cauca,9.16411,-72.13296,INACTIVO
SUC017,Sucursal Fusagasugá 17,Corresponsal,Fusagasugá,Cundinamarca,-2.78283,-76.92562,INACTIVO
SUC018,Sucursal Fusagasugá 18,Corresponsal,Fusagasugá,Cundinamarca,0.29781,-77.22277,ACTIVO
SUC019,Sucursal Medellín 19,Cajero,Medellín,Antioquia,10.02239,-77.6839,INACTIVO
SUC020,Sucursal Armenia 20,Corresponsal,Armenia,Quindío,1.61737,-77.57296,INACTIVO
SUC021,Sucursal Barranquilla 21,Corresponsal,Barranquilla,Atlántico,-2.91686,-81.08304,INACTIVO
SUC022,Sucursal Fusagasugá 22,Corresponsal,Fusagasugá,Cundinamarca,-1.65549,-81.34243,INACTIVO
SUC023,Sucursal Ibagué 23,Oficina Principal,Ibagué,Tolima,12.71125,-73.34302,ACTIVO
SUC024,Sucursal Villavicencio 24,Corresponsal,Villavicencio,Meta,-4.5658,-76.10692,ACTIVO
SUC025,Sucursal Ibagué 25,Corresponsal,Ibagué,Tolima,2.37128,-81.41624,ACTIVO
SUC026,Sucursal Armenia 26,Oficina Principal,Armenia,Quindío,4.56434,-67.1395,ACTIVO
SUC027,Sucursal Ibagué 27,Corresponsal,Ibagué,Tolima,-0.18739,-81.62848,INACTIVO
SUC028,Sucursal Medellín 28,Corresponsal,Medellín,Antioquia,11.15493,-72.81011,ACTIVO
SUC029,Sucursal Medellín 29,Cajero,Medellín,Antioquia,0.26667,-68.33104,ACTIVO
SUC030,Sucursal San Andrés 30,Sucursal,San Andrés,San Andrés y Providencia,9.38601,-81.59795,INACTIVO
SUC031,Sucursal Villavicencio 31,Sucursal,Villavicencio,Meta,4.3612,-77.11894,INACTIVO
SUC032,Sucursal Bogotá 32,Cajero,Bogotá,Cundinamarca,4.93531,-74.57112,INACTIVO
SUC033,Sucursal Cali 33,Oficina Principal,Cali,Valle del Cauca,-1.70734,-73.20727,INACTIVO
SUC034,Sucursal Cali 34,Oficina Principal,Cali,Valle del Cauca,2.97336,-79.8963,INACTIVO
